,Name,Acceleration,TopSpeed,Range,BatteryCapacity,Efficiency,FastChargeSpeed,Drive,NumberofSeats,price
0,Opel Ampera-e ,7.3,150,335,58.0,173,210,1,5,42990
2,Nissan Leaf ,7.9,144,220,36.0,164,230,1,5,29990
3,Audi e-tron Sportback 55 quattro,5.7,200,375,86.5,231,600,3,5,95880
4,Porsche Taycan Turbo S,2.8,260,390,83.7,215,860,3,4,186336
5,Nissan e-NV200 Evalia ,14.0,123,165,36.0,218,170,1,7,43433
6,Volkswagen ID.3 Pure Performance,8.9,160,275,45.0,164,260,2,5,31960
7,BMW iX3 ,6.8,180,385,74.0,192,520,2,5,66300
8,Nissan Leaf e+,7.3,157,325,56.0,172,390,1,5,38350
9,BMW i3 120 Ah,7.3,150,235,37.9,161,270,2,4,39000
10,Mercedes EQA 250,8.9,160,355,66.5,187,420,1,5,47541
11,DS 3 Crossback E-Tense,8.7,150,250,45.0,180,330,1,5,30040
12,BMW i3s 120 Ah,6.9,160,230,37.9,165,260,2,4,42600
13,Sono Sion ,9.0,140,260,47.0,181,310,1,5,25500
14,Audi e-tron GT RS,3.3,250,405,85.0,210,810,3,4,138200
15,Kia e-Soul 64 kWh,7.9,167,370,64.0,173,350,1,5,45054
16,Renault Zoe ZE50 R110,11.4,135,315,52.0,165,230,1,5,31990
17,Hyundai IONIQ Electric,9.7,165,250,38.3,153,220,1,5,35350
18,Lightyear One ,10.0,150,575,60.0,104,540,3,5,149000
19,Tesla Roadster ,2.1,410,970,200.0,206,920,3,4,215000
20,Peugeot e-208 ,8.1,150,275,45.0,164,370,1,5,30450
21,Honda e ,9.0,145,170,28.5,168,190,2,4,33850
22,CUPRA Born 110 kW - 55 kWh,8.9,160,275,45.0,164,440,2,5,32700
23,Audi Q4 e-tron 35,9.0,160,280,51.5,184,390,2,5,41900
24,Tesla Model Y Long Range Dual Motor,5.1,217,450,76.0,169,750,3,7,59965
25,Tesla Model Y Performance,3.7,241,430,76.0,177,720,3,7,66965
26,Porsche Taycan 4 Cross Turismo,5.1,220,405,83.7,207,850,3,4,93635
27,Skoda Enyaq iV 50,11.3,160,295,52.0,176,240,2,5,33800
29,SEAT Mii Electric ,12.3,130,205,32.3,158,170,1,4,24650
